video_url,author,text,time,votes,is_reply
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@RakibulHasan-n1d,Messi ❤❤❤,6 months ago,4,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@purushottamgauli942,"MESSI
 PLZ",6 months ago,9,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@LifeSomthingDiffernt,Messi,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@speec244,You should do Mbapee 🔥,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@bestesttime-hm8ys,Virat kolile,6 months ago,20,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@pepehimovic3135,Hachimura,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@EderMamani-j7y,🥰🥰🔑😀,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@VipulN-m4q4t,Virat kohli,6 months ago,16,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@jacobdore-gu7lw,Jz t'adore depuis la côte d'ivoire,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@drovks,me,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@shod_908,misse,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@꼬북2-u1k,메시,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@nintendotanzindorje,Virat kohli,6 months ago,21,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@LeedsLatest,MESSI,6 months ago,9,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@nikhilgahlyan,Manika batra ❤,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Aether_Sketch,Dhoni,6 months ago,6,False
